id;start_date;end_date;language
1;2021-03-29T16:35:03;2021-03-29T14:25:18;SPANISH
2;2021-03-28T21:25:14;2021-03-29T16:29:39;SPANISH
3;2021-03-29T12:20:33;2021-03-28T22:54:42;FRENCH
4;2021-03-29T03:38:04;2021-03-29T15:09:30;FRENCH
5;2021-03-29T13:08:22;2021-03-29T17:55:21;FRENCH
6;2021-03-29T07:00:43;2021-03-29T19:08:57;FRENCH
7;2021-03-29T08:46:03;2021-03-29T02:36:54;FRENCH
8;2021-03-29T07:42:16;2021-03-29T17:58:24;SPANISH
9;2021-03-29T06:23:25;2021-03-29T03:04:48;SPANISH
10;2021-03-29T14:35:29;2021-03-29T01:09:59;SPANISH
